file_name,ROI,root_tips,branch_points,length_mm,branching_freq_mm-1,network_area_mm2,mean_diameter_mm,median_diameter_mm,max_diameter_mm,perimeter_mm,volume_mm3,SA_mm2
cam_rad_3.jpg,roi_2,123,181,426.69,0.424,209.182,0.6,0.568,1.554,709.413,147.562,805.303
cam_rad_4.jpg,roi_2,148,210,411.05,0.511,199.801,0.625,0.568,1.737,642.858,161.223,809.625
cam_rad_5.jpg,roi_2,104,132,274.324,0.481,106.595,0.479,0.456,1.533,461.352,59.377,414.067
cri_moo_1.jpg,roi_2,73,89,294.415,0.302,183.623,0.743,0.677,1.947,502.365,158.334,690.448
cri_moo_2.jpg,roi_2,114,120,356.068,0.337,274.772,0.975,0.799,3.294,570.122,351.799,1098.787
cri_moo_3.jpg,roi_2,160,162,453.713,0.357,342.053,0.945,0.803,2.626,719.451,409.616,1355.687
cri_moo_4.jpg,roi_2,110,118,342.774,0.344,234.184,0.836,0.781,2.49,563.515,221.315,907.12
cri_moo_5.jpg,roi_2,103,113,341.962,0.33,259.292,0.947,0.912,2.715,543.92,285.046,1028.001
equ_hym_5.jpg,roi_2,123,143,246.54,0.58,75.373,0.389,0.349,1.314,405.17,37.503,303.002
gal_apa_1.jpg,roi_2,92,146,299.304,0.488,92.353,0.371,0.349,1.25,523.835,42.274,349.845
geu_tri_2.jpg,roi_2,44,62,235.392,0.263,73.616,0.366,0.254,1.317,432.205,40.827,276.873
geu_tri_3.jpg,roi_2,86,126,324.194,0.389,124.333,0.465,0.423,1.591,562.639,76.545,474.821
geu_tri_5.jpg,roi_2,119,213,404.594,0.526,138.143,0.48,0.379,2.198,632.316,112.681,607.783
geu_tri_7.jpg,roi_2,109,161,362.848,0.444,109.071,0.362,0.339,1.743,644.85,52.894,412.602
iri_mis_1.jpg,roi_2,118,182,520.684,0.35,190.67,0.433,0.379,1.533,920.27,95.51,707.92
iri_mis_3.jpg,roi_2,141,189,444.607,0.425,198.351,0.545,0.508,1.969,740.654,136.233,768.821
iri_mis_4.jpg,roi_2,271,395,1137.751,0.347,833.319,0.981,0.799,3.861,1706.201,1321.374,3536.385
iri_mis_6.jpg,roi_2,220,270,778.833,0.347,474.397,0.752,0.611,2.865,1289.881,505.638,1852.197
iri_mis_7.jpg,roi_2,83,109,296.467,0.368,155.901,0.642,0.593,1.857,491.626,122.2,601.796
ono_sen_1.jpg,roi_2,120,166,495.452,0.335,161.724,0.384,0.339,1.295,896.234,72.703,596.812
poa_pra_1.jpg,roi_2,148,318,360.96,0.881,53.116,0.208,0.169,0.931,615.021,17.692,228.453
pot_rec_4.jpg,roi_2,164,324,485.054,0.668,143.521,0.387,0.305,1.479,791.074,83.698,585.781
sta_pal_5.jpg,roi_2,64,70,198.622,0.352,87.692,0.554,0.423,1.91,335.687,72.039,348.146
sym_eri_2.jpg,roi_4,65,63,181.48,0.347,57.306,0.367,0.349,1.02,330.28,23.937,210.417
woo_obt_1.jpg,roi_6,117,189,241.841,0.782,68.622,0.39,0.349,1.185,369.35,37.311,294.367
woo_obt_3.jpg,roi_6,279,403,510.088,0.79,176.469,0.478,0.423,2.426,745.559,122.461,772.279
woo_obt_4.jpg,roi_6,130,203,248.612,0.817,67.998,0.374,0.339,1.176,386.092,38.134,292.234
woo_obt_5.jpg,roi_6,258,392,547.309,0.716,152.355,0.373,0.339,1.365,867.068,79.052,638.954
woo_obt_6.jpg,roi_6,174,264,340.07,0.776,122.462,0.506,0.423,1.934,498.413,91.176,542.25
aqu_can_1.jpg,roi_6,174,256,396.302,0.646,118.125,0.385,0.339,1.389,645.902,62.603,480.281
aur_sax_1.jpg,roi_6,100,112,293.601,0.381,115.494,0.455,0.432,1.152,531.287,62.984,420.747
aur_sax_2.jpg,roi_6,130,148,274.793,0.539,81.17,0.358,0.349,1.185,476.051,35.064,311.95
aur_sax_3.jpg,roi_6,101,161,248.604,0.648,105.971,0.548,0.599,1.378,382.381,75.221,431.721
aur_sax_4.jpg,roi_6,147,209,253.991,0.823,90.831,0.518,0.432,1.778,358.025,81.804,418.342
aur_sax_5.jpg,roi_6,126,152,266.447,0.57,105.908,0.508,0.456,1.859,429.367,74.736,428.105
bra_nig_1.jpg,roi_6,47,51,218.53,0.233,118.656,0.602,0.645,1.365,402.882,75.643,419.033
bra_nig_2.jpg,roi_6,48,48,258.689,0.186,173.251,0.747,0.677,2.88,480.963,156.826,610.806
bra_nig_3.jpg,roi_6,106,140,323.802,0.432,100.077,0.369,0.339,1.339,577.444,47.236,377.825
bra_nig_4.jpg,roi_6,114,142,342.213,0.415,140.711,0.479,0.432,1.618,602.623,84.154,521.743
bra_nig_5.jpg,roi_6,143,147,357.68,0.411,223.297,0.757,0.799,1.78,584.822,202.339,861.194
equ_hym_2.jpg,roi_6,232,322,476.394,0.676,181.949,0.527,0.423,1.745,705.026,148.797,790.003
equ_hym_3.jpg,roi_6,176,222,314.469,0.706,124.998,0.559,0.515,1.609,448.126,102.058,555.818
equ_hym_4.jpg,roi_6,180,238,333.33,0.714,123.605,0.508,0.479,1.984,495.89,89.755,536.176
equ_hym_7.jpg,roi_6,255,357,473.303,0.754,183.704,0.536,0.508,1.727,682.441,142.26,803.427
lin_vul_1.jpg,roi_6,169,279,495.406,0.563,234.989,0.688,0.456,3.409,721.912,314.773,1073.208
lin_vul_2.jpg,roi_6,68,78,160.004,0.487,97.876,0.791,0.834,1.947,240.81,102.788,402.914
lin_vul_3.jpg,roi_6,215,257,555.727,0.462,291.707,0.717,0.593,2.614,841.024,324.481,1260.269
lin_vul_4.jpg,roi_6,115,163,398.038,0.41,237.055,0.794,0.508,2.709,619.987,336.621,998.973
lin_vul_5.jpg,roi_6,101,151,338.877,0.446,224.397,0.848,0.611,2.313,528.471,295.407,910.119
lin_vul_6.jpg,roi_6,106,140,260.834,0.537,150.975,0.744,0.781,2.17,399.526,161.541,615.203
lin_vul_7.jpg,roi_6,194,258,512.904,0.503,238.709,0.636,0.494,3.192,799.697,273.661,1033.838
mer_ann_3.jpg,roi_6,79,87,234.213,0.371,113.706,0.565,0.508,1.409,410.41,73.763,420.608
mer_ann_4.jpg,roi_6,113,159,351.095,0.453,187.666,0.696,0.677,2.076,538.97,170.789,772.931
mer_ann_5.jpg,roi_6,174,182,463.266,0.393,330.705,0.891,0.863,3.142,733.739,380.857,1310.509
ono_sen_2.jpg,roi_6,114,220,547.947,0.401,180.363,0.404,0.339,1.575,958.136,95.934,686.687
ono_sen_5.jpg,roi_6,109,171,481.606,0.355,215.179,0.564,0.423,2.235,822.301,181.345,840.811
ono_sen_6.jpg,roi_6,110,192,495.51,0.387,188.663,0.477,0.423,1.863,839.677,115.788,739.335
ono_sen_7.jpg,roi_6,91,149,327.756,0.455,173.776,0.749,0.593,3.218,483.095,211.528,767.649
pol_sco_5.jpg,roi_6,207,335,462.747,0.724,94.287,0.265,0.239,1.152,788.813,37.439,384.751
pot_rec_1.jpg,roi_6,49,53,150.579,0.352,92.247,0.721,0.757,1.644,257.001,72.566,345.575
pot_rec_3.jpg,roi_6,139,239,445.145,0.537,174.89,0.502,0.379,2.954,734.74,147.206,703.943
pot_rec_5.jpg,roi_6,62,80,222.646,0.359,155.915,0.859,0.834,2.095,364.798,172.741,592.28
pot_rec_6.jpg,roi_6,116,146,359.806,0.406,140.249,0.466,0.423,1.526,625.731,82.305,528.278
pot_rec_7.jpg,roi_6,70,76,259.684,0.293,127.378,0.581,0.508,1.78,459.194,94.624,474.148
sta_pal_1.jpg,roi_6,80,102,241.174,0.423,146.53,0.745,0.723,2.259,394.159,140.887,567.937
sta_pal_2.jpg,roi_6,66,84,182.419,0.46,96.046,0.666,0.718,1.668,290.811,88.945,386.254
sta_pal_3.jpg,roi_6,106,128,323.624,0.396,147.611,0.565,0.423,1.687,544.358,115.929,577.242
sta_pal_4.jpg,roi_6,67,85,213.261,0.399,113.573,0.643,0.508,1.557,356.571,95.634,435.365
sta_pal_6.jpg,roi_6,84,112,259.811,0.431,126.962,0.602,0.508,2.067,432.538,103.1,495.917
sta_pal_7.jpg,roi_6,81,119,235.223,0.506,106.552,0.587,0.423,1.663,381.981,91.358,429.534
sym_eri_3.jpg,roi_6,21,21,109.085,0.193,63.747,0.646,0.677,1.439,201.876,42.764,223.485
alc_mol_1.jpg,roi_6,56,56,195.644,0.286,110.025,0.694,0.781,1.629,331.941,97.141,421.715
alc_mol_2.jpg,roi_8,149,211,443.446,0.476,186.571,0.544,0.456,2.408,720.347,151.56,760.099
alc_mol_3.jpg,roi_8,266,444,938.802,0.473,399.824,0.558,0.456,2.278,1494.804,331.092,1646.343
alc_mol_4.jpg,roi_8,116,144,307.593,0.468,123.57,0.492,0.423,1.554,523.814,81.903,477.296
alc_mol_5.jpg,roi_8,80,96,360.341,0.266,198.863,0.659,0.611,2.455,631.908,163.86,745.926
ane_tom_1.jpg,roi_8,50,58,168.838,0.344,108.224,0.775,0.781,1.893,277.255,96.18,415.39
ane_tom_2.jpg,roi_8,69,87,261.314,0.333,209.161,1.024,1.03,3.105,402.604,287.41,847.317
ane_tom_3.jpg,roi_8,65,73,241.652,0.302,146.654,0.741,0.677,2.384,413.827,138.382,561.604
ane_tom_4.jpg,roi_8,70,104,294.855,0.353,193.912,0.781,0.757,1.8,489.95,172.957,728.637
ane_tom_5.jpg,roi_8,93,127,366.028,0.347,155.962,0.501,0.456,1.401,641.378,87.54,578.437
car_otr_2.jpg,roi_8,139,199,342.8,0.581,128.545,0.534,0.349,2.196,522.559,128.549,571.964
dor_rec_1.jpg,roi_8,60,62,243.19,0.255,239.503,1.223,1.314,3.161,388.51,351.146,938.416
dor_rec_2.jpg,roi_8,87,83,205.169,0.405,142.254,0.972,0.847,3.676,303.485,226.776,629.661
dor_rec_3.jpg,roi_8,56,56,272.56,0.205,242.388,1.031,1.114,2.036,475.051,267.496,885.949
mer_ann_1.jpg,roi_8,202,262,525.871,0.498,238.424,0.586,0.508,2.919,839.033,208.957,979.2
mer_ann_2.jpg,roi_8,260,334,693.496,0.482,388.596,0.77,0.611,2.7,1027.601,485.222,1683.981
pet_axi_1.jpg,roi_8,111,135,264.651,0.51,142.324,0.674,0.683,1.786,415.756,117.46,568.309
pet_axi_2.jpg,roi_8,246,322,578.366,0.557,285.171,0.643,0.568,2.352,887.254,256.142,1178.629
pet_axi_4.jpg,roi_8,226,324,605.167,0.535,337.069,0.781,0.683,2.879,854.62,413.008,1497.899
pol_sco_1.jpg,roi_8,130,210,435.242,0.482,130.455,0.372,0.339,1.618,757.868,68.444,505.223
pol_sco_2.jpg,roi_8,102,174,308.679,0.564,72.812,0.307,0.239,1.693,532.379,37.357,295.11
pol_sco_3.jpg,roi_8,66,86,167.33,0.514,53.555,0.379,0.379,0.947,295.276,23.281,199.518
pol_sco_4.jpg,roi_8,106,148,234.476,0.631,54.577,0.289,0.268,0.958,408.844,20.361,212.159
pon_mac_1.jpg,roi_8,81,137,343.896,0.398,102.96,0.363,0.349,1.197,605.819,44.082,389.264
pon_mac_5.jpg,roi_8,59,85,278.945,0.305,75.034,0.312,0.305,0.781,517.279,26.949,272.667
sci_hol_1.jpg,roi_8,81,111,189.992,0.584,63.254,0.442,0.423,1.479,304.816,40.683,261.969
the_mon_1.jpg,roi_8,119,141,334.497,0.422,247.783,1.048,0.958,2.793,458.607,386.611,1107.731
the_mon_3.jpg,roi_8,94,102,281.495,0.362,240.379,1.232,1.061,4.189,388.67,472.438,1102.22
cer_arv_1.jpg,roi_8,428,652,889.669,0.733,271.931,0.403,0.349,1.687,1408.276,162.468,1133.246
cer_arv_2.jpg,roi_8,95,119,221.242,0.538,79.532,0.446,0.432,1.292,364.359,44.415,312.691
cer_arv_4.jpg,roi_8,244,316,492.011,0.642,163.225,0.42,0.379,1.317,800.204,87.833,652.104
cer_arv_5.jpg,roi_8,196,330,462.246,0.714,147.485,0.43,0.379,1.557,710.312,90.455,627.1
ero_tri_1.jpg,roi_8,66,72,202.249,0.356,88.1,0.504,0.508,1.188,359.862,48.189,323.287
ero_tri_2.jpg,roi_8,83,93,265.553,0.35,122.353,0.569,0.535,1.857,458.978,88.455,472.914
ero_tri_3.jpg,roi_8,71,75,244.699,0.306,126.435,0.589,0.568,1.355,441.585,79.123,454.221
ero_tri_4.jpg,roi_8,69,71,194.847,0.364,101.269,0.63,0.542,2.096,330.589,77.479,387.732
ero_tri_5.jpg,roi_8,60,56,224.875,0.249,125.546,0.656,0.599,2.711,402.316,98.882,466.372
lin_per_1.jpg,roi_8,102,98,188.008,0.521,75.052,0.489,0.423,2.046,321.109,50.67,294.203
lin_per_2.jpg,roi_8,218,258,512.12,0.504,268.817,0.679,0.616,2.82,811.05,245.465,1101.896
lin_per_3.jpg,roi_8,319,395,824.032,0.479,382.689,0.57,0.535,1.796,1354.133,261.622,1490.647
lin_per_4.jpg,roi_8,238,296,611.969,0.484,241.039,0.483,0.456,1.618,1027.67,141.144,930.812
lin_per_5.jpg,roi_8,162,232,474.252,0.489,201.068,0.538,0.494,1.582,760.73,132.917,802.76
car_otr_3.jpg,roi_8,601,1155,823.94,1.402,158.855,0.331,0.254,2.422,1086.772,121.304,854.923
car_otr_4.jpg,roi_8,287,373,413.748,0.902,133.313,0.463,0.423,1.903,583.283,100.685,608.542
car_otr_5.jpg,roi_8,362,560,501.114,1.118,153.487,0.513,0.339,2.046,628.345,178.85,818.737
cer_arv_3.jpg,roi_8,203,301,489.583,0.615,221.93,0.646,0.456,1.982,700.374,250.543,1000.775
pet_axi_3.jpg,roi_8,130,140,263.94,0.53,127.58,0.597,0.568,1.745,424.846,99.997,503.144
pet_axi_5.jpg,roi_8,177,215,377.579,0.569,184.46,0.635,0.535,2.048,580.835,165.405,761.307
pon_mac_2.jpg,roi_8,56,94,295.152,0.318,69.57,0.286,0.254,1.197,537.775,24.732,263.501
pon_mac_3.jpg,roi_8,78,112,255.235,0.439,71.378,0.347,0.339,1.136,445.375,30.58,276.436
pon_mac_4.jpg,roi_8,46,68,211.655,0.321,79.045,0.436,0.423,1.101,377.66,38.501,289.536
sal_scl_1.jpg,roi_8,99,135,343.134,0.393,134.057,0.474,0.349,1.597,599.58,86.094,510.54
sal_scl_3.jpg,roi_8,87,119,325.087,0.366,139.726,0.525,0.423,1.629,562.309,95.46,532.659
sal_scl_2.jpg,roi_8,71,107,333.719,0.321,119.111,0.428,0.359,1.557,595.133,64.654,447.059
sal_scl_4.jpg,roi_8,102,130,342.809,0.379,114.412,0.388,0.379,0.947,618.771,51.731,418.735
sal_scl_5.jpg,roi_8,81,107,355.465,0.301,133.077,0.429,0.423,1.314,653.266,65.158,479.075
sci_hol_2.jpg,roi_8,276,550,431.366,1.275,85.797,0.307,0.189,1.212,621.513,52.637,415.826
sci_hol_3.jpg,roi_8,287,593,464.551,1.277,82.512,0.28,0.239,1.273,670.985,42.781,404.024
sci_hol_4.jpg,roi_8,334,652,643.956,1.012,148.175,0.352,0.254,1.702,943.152,102.517,705.212
sci_hol_5.jpg,roi_8,256,380,409.696,0.928,116.36,0.395,0.305,1.609,617.921,79.488,516.057
the_mon_2.jpg,roi_8,60,72,231.745,0.311,212.534,1.159,1.13,3.602,367.021,315.317,840.551
the_mon_4.jpg,roi_8,71,73,222.038,0.329,203.496,1.427,1.32,4.911,283.906,529.873,1000.265
the_mon_5.jpg,roi_8,119,141,416.92,0.338,377.347,1.406,1.212,4.456,522.36,930.291,1850.038
