species,family
Acer campestre,Sapindaceae
Acer davidii,Sapindaceae
Acer fabri,Sapindaceae
Acer negundo,Sapindaceae
Acer platanoides,Sapindaceae
Acer pseudoplatanus,Sapindaceae
Acer rubrum,Sapindaceae
Acer saccharum,Sapindaceae
Acer tataricum,Sapindaceae
Achillea millefolium,Asteraceae
Achyranthes aspera,Amaranthaceae
Acronychia pedunculata,Rutaceae
Aesculus hippocastanum,Sapindaceae
Aesculus parviflora,Sapindaceae
Ageratina aromatica,Asteraceae
Agrostis capillaris,Poaceae
Agrostis stolonifera,Poaceae
Ajuga reptans,Lamiaceae
Alangium chinense,Cornaceae
Alchemilla mollis,Rosaceae
Alniphyllum fortunei,Styracaceae
Alopecurus pratensis,Poaceae
Alseis blackiana,Rubiaceae
Alstonia scholaris,Apocynaceae
Andropogon gerardii,Poaceae
Anthemis tinctoria,Asteraceae
Anthoxanthum odoratum,Poaceae
Anthriscus sylvestris,Apiaceae
Anthyllis vulneraria,Fabaceae
Antidesma maclurei,Phyllanthaceae
Aporosa yunnanensis,Phyllanthaceae
Aquilegia canadensis,Ranunculaceae
Arrhenatherum elatius,Poaceae
Artemisia campestris,Asteraceae
Artemisia frigida,Asteraceae
Artocarpus styracifolius,Moraceae
Asclepias syriaca,Apocynaceae
Asimina triloba,Annonaceae
Aurinia saxatilis,Brassicaceae
Barringtonia racemosa,Lecythidaceae
Bellis perennis,Asteraceae
Berberis thunbergii,Berberidaceae
Biophytum umbraculum,Oxalidaceae
Brachypodium phoenicoides,Poaceae
Brachypodium pinnatum,Poaceae
Brachypodium sylvaticum,Poaceae
Brassica nigra,Brassicaceae
Briza media,Poaceae
Bromus catharticus,Poaceae
Bromus erectus,Poaceae
Bromus hordeaceus,Poaceae
Bromus inermis,Poaceae
Bromus madritensis,Poaceae
Caltha palustris,Ranunculaceae
Campanula rotundifolia,Campanulaceae
Campsis radicans,Bignoniaceae
Carallia brachiata,Rhizophoraceae
Carex humilis,Cyperaceae
Carex lasiocarpa,Cyperaceae
Carex otrubae,Cyperaceae
Carum carvi,Apiaceae
Catalpa bignonioides,Bignoniaceae
Catunaregam spinosa,Rubiaceae
Celtis sinensis,Cannabaceae
Centaurea jacea,Asteraceae
Cerastium arvense,Caryophyllaceae
Cerastium fontanum,Caryophyllaceae
Cercidiphyllum japonicum,Cercidiphyllaceae
Chamaecyparis obtusa,Cupressaceae
Chasmanthium latifolium,Poaceae
Chenopodium album,Amaranthaceae
Chionanthus virginicus,Oleaceae
Chomelia psilocarpa,Rubiaceae
Cinnamomum camphora,Lauraceae
Cinnamomum cassia,Lauraceae
Cinnamomum micranthum,Lauraceae
Cirsium oleraceum,Asteraceae
Clinopodium nepeta,Lamiaceae
Clitoria javitensis,Fabaceae
Combretum decandrum,Combretaceae
Convallaria majalis,Asparagaceae
Cornus florida,Cornaceae
Cotoneaster multiflorus,Rosaceae
Crataegus pinnatifida,Rosaceae
Cratoxylum cochinchinense,Hypericaceae
Crepis sancta,Asteraceae
Crinum moorei,Amaryllidaceae
Cryptocarya chinensis,Lauraceae
Cryptocarya concinna,Lauraceae
Cyclobalanopsis patelliformis,Fagaceae
Dactylis glomerata,Poaceae
Decaspermum gracilentum,Myrtaceae
Deschampsia cespitosa,Poaceae
Diospyros virginiana,Ebenaceae
Duchesnea indica,Rosaceae
Echinacea pallida,Asteraceae
Elaeocarpus dubius,Elaeocarpaceae
Elymus canadensis,Poaceae
Endospermum chinense,Euphorbiaceae
Epilobium parviflorum,Onagraceae
Equisetum hyemale,Equisetaceae
Equisetum pratense,Equisetaceae
Eriobotrya japonica,Rosaceae
Eriocapitella tomentosa,Ranunculaceae
Erodium cicutarium,Geraniaceae
Erodium trifolium,Geraniaceae
Euonymus verrucosus,Celastraceae
Festuca arundinacea,Poaceae
Festuca ovina,Poaceae
Festuca pratensis,Poaceae
Festuca rubra,Poaceae
Ficus variolosa,Moraceae
Fraxinus americana,Oleaceae
Fraxinus angustifolia,Oleaceae
Fraxinus excelsior,Oleaceae
Fraxinus rhynchophylla,Oleaceae
Galium aparine,Rubiaceae
Galium mollugo,Rubiaceae
Galium verum,Rubiaceae
Garcinia cowa,Clusiaceae
Garcinia oblongifolia,Clusiaceae
Genista tinctoria,Fabaceae
Geranium pratense,Geraniaceae
Geranium sylvaticum,Geraniaceae
Geum triflorum,Rosaceae
Gironniera subaequalis,Cannabaceae
Glechoma hederacea,Lamiaceae
Gleditsia triacanthos,Fabaceae
Halesia tetraptera,Styracaceae
Hamamelis virginiana,Hamamelidaceae
Helictotrichon pubescens,Poaceae
Hieracium pilosella,Asteraceae
Holcus lanatus,Poaceae
Ilex opaca,Aquifoliaceae
Inula conyza,Asteraceae
Iris missouriensis,Iridaceae
Itea chinensis,Iteaceae
Juglans mandshurica,Juglandaceae
Juglans nigra,Juglandaceae
Juncus effusus,Juncaceae
Juncus inflexus,Juncaceae
Knautia arvensis,Caprifoliaceae
Koeleria macrantha,Poaceae
Koelreuteria paniculata,Sapindaceae
Lamium album,Lamiaceae
Lathyrus pratensis,Fabaceae
Leontodon autumnalis,Asteraceae
Leontodon hispidus,Asteraceae
Lespedeza bicolor,Fabaceae
Leucanthemum vulgare,Asteraceae
Linaria vulgaris,Plantaginaceae
Lindera benzoin,Lauraceae
Linum perenne,Linaceae
Liquidambar styraciflua,Altingiaceae
Liriodendron chinense,Magnoliaceae
Liriodendron tulipifera,Magnoliaceae
Litsea baviensis,Lauraceae
Litsea cubeba,Lauraceae
Litsea verticillata,Lauraceae
Lolium italicum,Poaceae
Lolium perenne,Poaceae
Lonicera maackii,Caprifoliaceae
Lotus corniculatus,Fabaceae
Lotus tenuis,Fabaceae
Macaranga sampsonii,Euphorbiaceae
Machilus kwangtungensis,Lauraceae
Machilus robusta,Lauraceae
Machilus velutina,Lauraceae
Magnolia acuminata,Magnoliaceae
Magnolia denudata,Magnoliaceae
Magnolia grandiflora,Magnoliaceae
Magnolia kobus,Magnoliaceae
Magnolia macrophylla,Magnoliaceae
Magnolia stellata,Magnoliaceae
Magnolia tripetala,Magnoliaceae
Magnolia virginiana,Magnoliaceae
Manglietia dandyi,Magnoliaceae
Manglietia paruicula,Magnoliaceae
Matteuccia struthiopteris,Onocleaceae
Maytenus schippii,Celastraceae
Medicago lupulina,Fabaceae
Medicago minima,Fabaceae
Medicago sativa,Fabaceae
Mercurialis annua,Euphorbiaceae
Michelia balansae,Magnoliaceae
Michelia cavaleriei,Magnoliaceae
Michelia champaca,Magnoliaceae
Michelia chapensis,Magnoliaceae
Michelia fulva,Magnoliaceae
Michelia macclurei,Magnoliaceae
Michelia maudiae,Magnoliaceae
Michelia odora,Magnoliaceae
Michelia opipara,Magnoliaceae
Michelia wilsonii,Magnoliaceae
Microcos paniculata,Malvaceae
Microtropis discolor,Celastraceae
Millingtonia hortensis,Bignoniaceae
Monarda fistulosa,Lamiaceae
Nassella tenuissima,Poaceae
Nephelium lappaceum,Sapindaceae
Nyssa sylvatica,Cornaceae
Olea rosea,Oleaceae
Onobrychis viciifolia,Fabaceae
Onoclea sensibilis,Onocleaceae
Oryza sativa,Poaceae
Osmanthus didymopetalus,Oleaceae
Panicum virgatum,Poaceae
Paragonia pyramidata,Bignoniaceae
Parakmeria lotungensis,Magnoliaceae
Parakmeria yunnanensis,Magnoliaceae
Paramichelia baillonii,Magnoliaceae
Pastinaca sativa,Apiaceae
Pentaphylax euryoides,Pentaphylacaceae
Pertusadina metcalfii,Rubiaceae
Petunia axillaris,Solanaceae
Phalaris arundinacea,Poaceae
Phellodendron amurense,Rutaceae
Phleum pratense,Poaceae
Phoebe lanceolata,Lauraceae
Phragmites australis,Poaceae
Physematium obtusum,Woodsiaceae
Picris hieracioides,Asteraceae
Pimpinella saxifraga,Apiaceae
Pistacia chinensis,Anacardiaceae
Pisum sativum,Fabaceae
Plantago lanceolata,Plantaginaceae
Plantago major,Plantaginaceae
Plantago media,Plantaginaceae
Platanus occidentalis,Platanaceae
Platypodium elegans,Fabaceae
Poa annua,Poaceae
Poa pratensis,Poaceae
Poa trivialis,Poaceae
Polygonum scoparium,Polygonaceae
Pontechium maculatum,Boraginaceae
Potentilla recta,Rosaceae
Prionostemma aspera,Celastraceae
Prunella vulgaris,Lamiaceae
Prunus avium,Rosaceae
Prunus serotina,Rosaceae
Psychotria asiatica,Rubiaceae
Pteridium aquilinum,Dennstaedtiaceae
Pterospermum acerifolium,Malvaceae
Ranunculus acris,Ranunculaceae
Ranunculus repens,Ranunculaceae
Rhaphiolepis indica,Rosaceae
Rosa acicularis,Rosaceae
Rubus idaeus,Rosaceae
Rudbeckia hirta,Asteraceae
Rumex acetosa,Polygonaceae
Rumex acetosella,Polygonaceae
Rumex crispus,Polygonaceae
Salvia sclarea,Lamiaceae
Sambucus nigra,Adoxaceae
Sanguisorba officinalis,Rosaceae
Saprosma ternata,Rubiaceae
Sassafras albidum,Lauraceae
Schefflera minutistellata,Araliaceae
Schima wallichii,Theaceae
Schizachyrium scoparium,Poaceae
Scirpoides holoschoenus,Cyperaceae
Solidago canadensis,Asteraceae
Stachys palustris,Lamiaceae
Sterculia lanceolata,Malvaceae
Stipa pennata,Poaceae
Styphnolobium japonicum,Fabaceae
Symphyotrichum ericoides,Asteraceae
Syringa reticulata,Oleaceae
Syzygium globiflorum,Myrtaceae
Syzygium hancei,Myrtaceae
Syzygium levinei,Myrtaceae
Tabebuia guayacan,Bignoniaceae
Taraxacum officinale,Asteraceae
Terminalia amazonia,Combretaceae
Thalictrum simplex,Ranunculaceae
Trifolium angustifolium,Fabaceae
Trifolium campestre,Fabaceae
Trifolium fragiferum,Fabaceae
Trifolium hybridum,Fabaceae
Trifolium pratense,Fabaceae
Trifolium repens,Fabaceae
Trisetum flavescens,Poaceae
Ulmus americana,Ulmaceae
Ulmus pumila,Ulmaceae
Urtica dioica,Urticaceae
Verbascum thapsus,Scrophulariaceae
Veronica chamaedrys,Plantaginaceae
Veronica spuria,Plantaginaceae
Viburnum dentatum,Adoxaceae
Vicia cracca,Fabaceae
Vitis vinifera,Vitaceae
Wendlandia uvariifolia,Rubiaceae
Zea mays,Poaceae
Baptisia australis,Fabaceae
Lotus rectus,Fabaceae
Thermopsis montana,Fabaceae
